record_id,animal_type,date,time,location_x,location_y,movement_speed_mps,activity,temperature_c,is_near_water,steps_taken
187,Monkey,2024-01-08,18:00:00,48.5652,452.214,0.272,Exploring,22.79,False,665
188,Bear,2024-01-08,19:00:00,817.8328,16.5983,4.782,Walking,22.85,True,356
189,Fox,2024-01-08,20:00:00,601.5568,124.1953,0.987,Resting,29.19,False,291
190,Wolf,2024-01-08,21:00:00,956.101,431.9727,7.854,Running,20.77,True,417
191,Deer,2024-01-08,22:00:00,960.0325,981.2984,3.644,Hiding,24.01,True,133
192,Wolf,2024-01-08,23:00:00,50.8151,250.1497,0.772,Drinking,25.44,True,328
193,Boar,2024-01-09,00:00:00,160.5215,10.2555,1.308,Resting,23.6,True,627
194,Elephant,2024-01-09,01:00:00,484.207,435.845,10.757,Running,16.95,False,311
195,Fox,2024-01-09,02:00:00,879.4935,15.954,10.199,Walking,10.98,True,654
196,Boar,2024-01-09,03:00:00,814.4451,336.2215,9.022,Resting,22.87,False,761
197,Monkey,2024-01-09,04:00:00,964.37,354.0557,3.347,Drinking,33.73,True,608
198,Deer,2024-01-09,05:00:00,618.0841,2.3531,5.974,Running,20.28,False,408
199,Tiger,2024-01-09,06:00:00,256.5635,779.568,11.299,Resting,24.56,False,724
200,Fox,2024-01-09,07:00:00,25.1066,912.8516,10.458,Chasing,19.94,False,242
201,Fox,2024-01-09,08:00:00,222.9265,998.7605,8.364,Running,29.69,False,89
202,Elephant,2024-01-09,09:00:00,675.2732,508.7816,9.542,Chasing,18.87,True,583
203,Rabbit,2024-01-09,10:00:00,926.2748,306.6191,0.254,Chasing,16.38,True,78
204,Fox,2024-01-09,11:00:00,320.9037,717.4747,8.741,Hiding,20.21,False,335
205,Leopard,2024-01-09,12:00:00,875.7043,736.4628,5.764,Resting,38.21,True,751
206,Deer,2024-01-09,13:00:00,394.8982,379.1883,2.267,Drinking,13.56,True,147
207,Deer,2024-01-09,14:00:00,308.2712,565.5853,11.503,Walking,26.21,False,18
208,Leopard,2024-01-09,15:00:00,508.8442,821.7705,10.442,Walking,29.57,False,511
209,Bear,2024-01-09,16:00:00,442.2735,189.1745,10.111,Walking,19.92,False,164
210,Leopard,2024-01-09,17:00:00,913.7999,20.4729,4.906,Hiding,35.7,False,203
211,Leopard,2024-01-09,18:00:00,468.2569,539.6965,2.667,Resting,30.69,False,274
212,Deer,2024-01-09,19:00:00,277.3354,664.3922,7.839,Chasing,15.18,True,581
213,Wolf,2024-01-09,20:00:00,842.5656,574.973,5.996,Drinking,18.2,False,473
214,Deer,2024-01-09,21:00:00,998.7495,596.2443,8.104,Chasing,25.11,False,119
215,Rabbit,2024-01-09,22:00:00,648.1714,393.0929,4.95,Chasing,20.1,False,752
216,Elephant,2024-01-09,23:00:00,250.4614,651.4947,11.108,Chasing,35.73,True,489
217,Boar,2024-01-10,00:00:00,238.8151,42.8112,11.503,Resting,25.3,True,735
218,Wolf,2024-01-10,01:00:00,57.7067,151.1846,9.53,Chasing,12.74,True,399
219,Tiger,2024-01-10,02:00:00,77.293,444.8084,3.592,Drinking,23.56,True,254
220,Boar,2024-01-10,03:00:00,914.9831,942.9881,1.945,Exploring,38.94,False,200
221,Elephant,2024-01-10,04:00:00,96.4871,644.492,5.26,Exploring,24.23,False,596
222,Rabbit,2024-01-10,05:00:00,484.3438,355.2785,5.302,Chasing,32.25,False,511
223,Rabbit,2024-01-10,06:00:00,698.1218,457.9592,9.892,Chasing,33.94,True,714
224,Tiger,2024-01-10,07:00:00,850.3548,845.6344,0.252,Hiding,10.77,True,669
225,Wolf,2024-01-10,08:00:00,171.271,542.4697,1.088,Walking,24.2,False,471
226,Bear,2024-01-10,09:00:00,437.7787,47.8669,4.059,Resting,15.13,True,353
227,Leopard,2024-01-10,10:00:00,251.4802,416.8658,1.46,Running,27.61,True,180
228,Wolf,2024-01-10,11:00:00,255.8231,388.0298,4.575,Chasing,19.29,False,152
229,Bear,2024-01-10,12:00:00,303.8393,899.8898,2.541,Resting,25.52,True,602
230,Rabbit,2024-01-10,13:00:00,587.1162,305.4119,11.788,Drinking,13.89,False,330
231,Deer,2024-01-10,14:00:00,16.5775,64.6932,6.235,Eating,14.62,True,737
232,Elephant,2024-01-10,15:00:00,408.7663,354.8213,7.563,Hiding,24.8,True,298
233,Tiger,2024-01-10,16:00:00,186.8301,43.8976,9.848,Hiding,34.94,True,696
234,Elephant,2024-01-10,17:00:00,967.1185,832.2913,6.145,Running,36.62,False,71
235,Monkey,2024-01-10,18:00:00,582.7292,590.2069,5.384,Hiding,37.17,False,241
236,Monkey,2024-01-10,19:00:00,868.0955,469.3762,7.042,Eating,13.33,False,284
237,Wolf,2024-01-10,20:00:00,195.69,359.845,1.858,Resting,16.63,True,635
238,Rabbit,2024-01-10,21:00:00,810.0157,417.6568,9.742,Drinking,11.66,False,408
239,Rabbit,2024-01-10,22:00:00,414.7825,787.841,7.631,Walking,17.65,True,259
240,Leopard,2024-01-10,23:00:00,177.6947,180.0147,11.218,Running,30.67,True,476
241,Leopard,2024-01-11,00:00:00,761.2452,71.4388,8.989,Running,20.39,True,368
242,Leopard,2024-01-11,01:00:00,762.0111,561.725,3.477,Eating,35.41,False,155
243,Deer,2024-01-11,02:00:00,995.8879,858.9062,9.867,Eating,14.26,True,342
244,Boar,2024-01-11,03:00:00,780.9373,562.2368,1.171,Eating,31.32,False,667
245,Fox,2024-01-11,04:00:00,145.2672,796.155,1.403,Drinking,24.38,False,386
246,Boar,2024-01-11,05:00:00,322.5447,892.7591,10.807,Walking,11.39,False,796
247,Elephant,2024-01-11,06:00:00,451.7269,76.8879,1.868,Walking,24.2,False,416
248,Boar,2024-01-11,07:00:00,126.6528,589.1802,1.06,Hiding,10.97,False,314
249,Deer,2024-01-11,08:00:00,788.039,832.7571,11.711,Chasing,24.78,False,242
250,Elephant,2024-01-11,09:00:00,526.6985,643.5398,4.951,Resting,30.11,False,605
251,Boar,2024-01-11,10:00:00,944.4496,591.5386,8.945,Drinking,10.02,True,476
252,Deer,2024-01-11,11:00:00,589.3081,788.0757,8.974,Eating,20.66,False,692
253,Fox,2024-01-11,12:00:00,522.8991,707.264,3.358,Walking,26.96,True,382
254,Boar,2024-01-11,13:00:00,71.4252,501.6228,1.208,Drinking,38.66,False,107
255,Deer,2024-01-11,14:00:00,149.3459,44.0334,1.906,Walking,21.83,True,360
256,Leopard,2024-01-11,15:00:00,849.5261,613.3371,4.812,Drinking,23.58,True,187
257,Rabbit,2024-01-11,16:00:00,990.676,213.1752,11.483,Exploring,29.41,True,305
258,Leopard,2024-01-11,17:00:00,415.1791,254.0864,4.588,Hiding,34.83,True,153
259,Rabbit,2024-01-11,18:00:00,810.0861,679.544,10.775,Drinking,14.31,False,234
260,Tiger,2024-01-11,19:00:00,627.5858,453.095,9.682,Hiding,21.07,False,441
261,Tiger,2024-01-11,20:00:00,959.0593,716.7799,6.45,Walking,33.7,True,528
262,Tiger,2024-01-11,21:00:00,238.1372,392.5588,1.332,Eating,20.25,True,337
263,Fox,2024-01-11,22:00:00,544.8357,870.0317,8.668,Hiding,23.67,True,232
264,Leopard,2024-01-11,23:00:00,408.7958,427.0683,8.324,Walking,25.29,True,304
265,Rabbit,2024-01-12,00:00:00,541.716,493.8234,5.558,Drinking,20.09,False,752
266,Deer,2024-01-12,01:00:00,268.8581,126.2701,5.706,Drinking,33.59,False,53
267,Elephant,2024-01-12,02:00:00,497.7462,503.5651,0.53,Drinking,19.56,True,559
268,Deer,2024-01-12,03:00:00,624.8041,239.8003,4.347,Running,30.58,True,635
269,Elephant,2024-01-12,04:00:00,81.2159,762.9808,5.147,Chasing,21.32,True,775
270,Monkey,2024-01-12,05:00:00,742.9873,714.0446,2.102,Running,36.14,True,260
271,Deer,2024-01-12,06:00:00,706.523,15.8432,2.42,Running,19.76,False,93
272,Boar,2024-01-12,07:00:00,880.4576,493.8121,3.224,Chasing,14.75,False,353
273,Boar,2024-01-12,08:00:00,425.8566,45.394,6.11,Eating,22.72,True,446
274,Wolf,2024-01-12,09:00:00,61.6691,569.2812,0.886,Exploring,39.72,False,43
275,Leopard,2024-01-12,10:00:00,461.4611,901.6389,5.876,Chasing,36.1,True,84
276,Elephant,2024-01-12,11:00:00,137.6092,867.1689,4.307,Hiding,16.92,True,150
277,Elephant,2024-01-12,12:00:00,647.4468,243.8151,6.181,Resting,23.73,True,764
278,Leopard,2024-01-12,13:00:00,47.1315,140.1138,6.629,Hiding,38.28,True,344
279,Fox,2024-01-12,14:00:00,373.9964,791.0645,9.977,Drinking,29.35,False,392
280,Wolf,2024-01-12,15:00:00,82.8429,546.1828,4.414,Hiding,28.2,True,212
281,Fox,2024-01-12,16:00:00,3.3664,423.8292,9.956,Resting,25.71,False,78
282,Fox,2024-01-12,17:00:00,960.5572,810.4977,1.09,Running,11.73,False,286
283,Fox,2024-01-12,18:00:00,996.1273,252.5115,0.314,Eating,16.08,False,199
284,Leopard,2024-01-12,19:00:00,555.503,224.6083,2.191,Eating,15.36,False,678
285,Fox,2024-01-12,20:00:00,238.9558,611.9319,6.7,Running,37.1,True,542
286,Boar,2024-01-12,21:00:00,911.099,272.5852,9.445,Drinking,34.58,False,114
287,Tiger,2024-01-12,22:00:00,923.0366,426.7902,11.566,Eating,22.7,False,243
288,Monkey,2024-01-12,23:00:00,854.5089,454.8146,3.223,Drinking,38.75,False,180
289,Elephant,2024-01-13,00:00:00,544.37,205.0238,3.97,Exploring,39.26,False,669
290,Elephant,2024-01-13,01:00:00,74.7022,61.6847,3.037,Hiding,17.1,False,171
291,Monkey,2024-01-13,02:00:00,88.4389,766.678,3.74,Drinking,16.29,True,320
292,Leopard,2024-01-13,03:00:00,896.6198,783.5874,4.738,Running,13.86,False,359
293,Deer,2024-01-13,04:00:00,875.8268,598.3696,7.378,Running,16.59,True,761
294,Leopard,2024-01-13,05:00:00,434.3972,148.6096,6.672,Chasing,29.8,False,583
295,Elephant,2024-01-13,06:00:00,328.1546,476.2132,0.696,Running,30.59,True,519
296,Elephant,2024-01-13,07:00:00,644.1239,177.8994,6.321,Running,12.67,True,698
297,Monkey,2024-01-13,08:00:00,806.9879,881.2735,9.269,Exploring,22.06,True,267
298,Fox,2024-01-13,09:00:00,731.6849,697.2886,7.935,Exploring,37.37,False,388
299,Leopard,2024-01-13,10:00:00,615.6029,31.3766,7.844,Eating,27.92,True,141
300,Rabbit,2024-01-13,11:00:00,231.511,1.6659,1.112,Hiding,24.6,False,502
301,Monkey,2024-01-13,12:00:00,262.5049,983.7609,6.211,Running,13.57,True,518
302,Boar,2024-01-13,13:00:00,724.0675,39.8469,3.158,Running,11.82,True,30
